Grapheme	IPA	FREQUENCY	CODEPOINTS	NOTES
́	NULL			
̀	NULL			
͏	NULL			
_	NULL			
-	NULL			
’	NULL			
`	NULL			
0	NULL			
1	NULL			
ã̀	ã ¹			
à	a ¹			
ã̌	ã ¹⁵			
ǎ	a ¹⁵			
a	a ³			
ã̄	ã ³			
ā	a ³			
ã́	ã ⁵			
á	a ⁵			
ã̂	ã ⁵¹			
â	a ⁵¹			
a᷇	a ⁵³			
a:	aː ³			
á:	aː ⁵			
ã̀ː	ã ³			
ã̌ː	ã ¹⁵			
a̰̰	ã ¹⁵			
àː	aː ¹			
ǎː	aː ¹⁵			
aː	aː ³			
ã̄ː	ãː ³			
āː	aː ³			
ã́ː	ãː ⁵			
áː	aː ⁵			
ã̂ː	ãː ⁵¹			
âː	aː ⁵¹			
ã᷇ː	ãː ⁵³			
a᷇ː	aː ⁵³			
a21ː	aː ²¹			
æ̀	æ ¹			
æ̃̀	æ̃ ¹			
æ̌	æ ¹⁵			
æ̃̌	æ̃ ¹⁵			
æ̃̄	æ̃ ³			
ǣ	æ ³			
æ	æ ³			
ǽ	æ ⁵			
æ̃́	æ ⁵			
æ̂	æ ⁵¹			
æ᷇	æ ⁵³			
ǽː	æː ⁵			
æ᷇ː	æː ⁵³			
àʲ	a ¹			
àⁿ	a n ¹			
ᴂ̀	æ ¹			
ᴂ̌	æ ¹⁵			
ᴂ̄	æ ³			
ᴂ́	æ ⁵			
ᴂ̂	æ ⁵¹			
ɑ̀	ɑ ¹			
ɑ̃̀	ɑ̃ ¹			
ɑ	ɑ ³			
ɑ̄	ɑ ³			
ɑ́	ɑ ⁵			
ɑ̂	ɑ ⁵¹			
ɑ̌	ɑ ⁵¹			
ɑ᷇	ɑ ⁵³			
ɑ̌ː	aː ¹⁵			
ɑ̂ː	aː ⁵¹			
ɑ̀ː	ɑː ¹			
ɑ̃̀ː	ɑ̃ː ¹			
ɑː	ɑː ³¹			
ā:̀	ɑː ³			
ɑ̄ː	ɑː ³			
ɑ́ː	ɑː ⁵			
ɑ᷇ː	ɑː ⁵³			
ɒ̀	ɒ ¹			
ɒ̃̀	ɒ̃ ¹			
ɒ̃̌	ɒ̃ ¹⁵			
ɒ̌	ɒ ¹⁵			
ɒ	ɒ ³			
ɒ̄	ɒ ³			
ɒ́	ɒ ⁵			
ɒ̂	ɒ ⁵¹			
ɒ᷇	ɒ ⁵³			
ɒ̃̂ː	ɒ̃ ⁵¹			
ɒ́ː	ɒː ¹			
ɒ̀ː	ɒː ¹			
ɒ̌ː	ɒː ¹⁵			
ɒ̄ː	ɒː ³			
ɒ̃́ː	ɒ̃ː ⁵			
ɒ̂ː	ɒː ⁵¹			
ɒ᷇ː	ɒː ⁵³			
b	b			
bᵇ	b			
bʷ	bʷ			
c	c
d	d			
dʷ	dʷ			
dzʷ	dzʷ			
dʒ	dʒ			
dʒʷ	dʒʷ			
ẽ̀	ẽ ¹			
è	e ¹			
ě	e ¹⁵			
e	e ³			
ẽ̄	ẽ ³			
ē	e ³			
ẽ́	ẽ ⁵			
e᷇	e ⁵			
é	e ⁵			
é:	eː ⁵			
ê	e ⁵¹			
ẽ᷇	ẽ ⁵³			
è:	eː ¹			
èː	eː ¹			
ěː	eː ¹⁵			
ēː	eː ³			
ẽ́ː	ẽː ⁵			
éː	eː ⁵			
êː	eː ⁵¹			
ẽ᷇ː	ẽː ⁵³			
e᷇ː	eː ⁵³			
